t,o,h,l,c,v
1578292200000,7515.116104,7527.47265711,7511.52469043,7518.45233531,19.65749429
1578294000000,7520.69109034,7526.82401199,7515.54370399,7519.79999968,18.90289764
1578295800000,7515.61885965,7524.94657253,7506.54,7507.68888515,23.37567293
1578297600000,7512.39815746,7534.19094753,7511.5859323,7524.24477879,45.11426781
1578299400000,7524.24477879,7552.2799917,7519.02511694,7547.01133274,74.80788677
1578301200000,7547.01133262,7550.37749127,7517.10508212,7529.85648277,55.08581369
1578303000000,7529.85648277,7552.07999161,7518.721946,7551.97924368,79.61611125
1578304800000,7551.97924368,7558.0,7534.62102524,7544.74486692,42.49298561
1578306600000,7542.12188928,7576.66274137,7537.00000002,7560.0,72.434623
1578308400000,7562.24489781,7580.7,7547.95918367,7550.00000002,84.55894538
1578310200000,7550.788384,7553.06122429,7525.0,7544.89795918,51.09934356
1578312000000,7542.85714285,7555.10204081,7536.25035337,7539.10000002,44.29831068
1578313800000,7539.79591836,7566.72247007,7539.79591836,7559.09999999,110.4728249
1578315600000,7558.85971289,7572.84966686,7545.81428576,7556.391141,83.20758674
1578317400000,7554.89795918,7605.0,7483.00000003,7526.3265307,182.77668206
1578319200000,7526.32653067,7546.73469386,7505.60796953,7538.79591829,98.80999132
1578321000000,7538.79591829,7558.97959183,7527.34693878,7547.449061,102.56402602
1578322800000,7548.67551016,7553.75510226,7522.24489796,7531.03270084,113.1584815
1578324600000,7531.03270081,7537.55102037,7519.0,7519.90578588,72.21546768
1578326400000,7521.22448979,7548.83572106,7509.144996,7533.58590289,95.87498752
1578328200000,7535.0,7539.95395467,7521.00000003,7529.10726382,75.82972041
1578330000000,7529.10726382,7560.0,7527.00000001,7559.26244589,75.32241261
1578331800000,7554.10851959,7560.28849991,7540.59375819,7558.46711035,46.67824483
1578333600000,7558.6671104,7558.6671104,7540.61224489,7542.65306122,18.47852593
1578335400000,7544.69387754,7548.0,7526.0,7531.66833101,43.23961291
1578337200000,7531.42857142,7539.59183671,7522.24489795,7536.239945,15.03361064
1578339000000,7537.5510204,7551.83673469,7530.40816326,7538.57142857,23.07175355
1578340800000,7537.55102041,7554.89795918,7535.51020412,7549.212372,24.44851098
1578342600000,7549.212372,7557.95918367,7533.61315629,7549.28571424,44.98452967
1578344400000,7550.81632653,7583.76787135,7546.73469388,7582.69074492,99.79610195
1578346200000,7579.50300444,7605.91836734,7564.08163266,7573.07736007,100.28114323
1578348000000,7573.17736008,7688.0,7572.015307,7662.89323371,60.88671468
1578349800000,7655.7522257,7750.40816327,7650.00000001,7711.30204319,99.25893066
1578351600000,7712.35116025,7797.7,7704.57169494,7739.06283699,131.19297325
1578353400000,7738.178291,7789.99999999,7736.88785109,7756.35259299,91.09339508
1578355200000,7761.03235428,7923.8450937,7756.87509443,7897.57756001,192.95951157
1578357000000,7897.182,7999.0,7850.0,7873.80135432,162.64953107
1578358800000,7874.15630258,7929.82371335,7873.33003379,7901.46594484,68.00058887
1578360600000,7907.48602625,7910.06172176,7870.62563024,7901.23755699,49.92159733
1578362400000,7907.0,7933.04778705,7895.74945463,7933.04778705,32.60521596
1578364200000,7932.27704907,7939.99999996,7892.70003647,7895.6643798,85.86375298
1578366000000,7893.54112232,7917.29407858,7884.77999009,7894.86217321,89.22264399
1578367800000,7896.12193026,7912.0,7892.6286758,7894.85798009,70.46031263
1578369600000,7893.40637997,7904.83779146,7851.17120895,7873.56241708,145.45961264
1578371400000,7873.61241707,7882.28275089,7823.12193563,7839.4646619,121.82887562
1578373200000,7840.45883724,7878.20613836,7830.53682001,7876.70613816,68.83836909
1578375000000,7871.74643297,7878.2061382,7855.93576709,7869.34983813,54.25446543
1578376800000,7869.34983813,7876.96446012,7853.7926855,7859.88935326,46.78567602
1578378600000,7860.28950002,7873.81482508,7855.0,7870.30000017,41.05571822
1578380400000,7872.01322222,7891.43968861,7855.00000003,7870.12714381,48.807367
1578382200000,7874.35401677,7882.26565765,7863.06010558,7882.26565765,23.37153964
1578384000000,7878.8787859,7905.40606,7878.8787859,7900.00797838,28.60723625
1578385800000,7905.15890018,7905.15890018,7870.45394274,7883.0781673,57.86234658
1578387600000,7883.17816729,7886.10799177,7868.76,7868.76000005,40.90107676
1578389400000,7868.76000007,7876.78392468,7855.00000001,7855.93170345,50.9323554
1578391200000,7856.66340679,7876.33802937,7855.93170349,7870.96031121,59.50478989
1578393000000,7870.96031123,7888.27410373,7868.94742871,7884.33855068,27.97899222
1578394800000,7888.30111606,7938.13983801,7880.99053457,7937.77603729,53.11202384
1578396600000,7938.18448,7961.0,7883.7049624,7898.41644714,182.04566618
1578398400000,7898.41644666,7914.96248487,7841.82602071,7866.75123371,93.45872444
1578400200000,7866.75123367,7890.10000005,7844.00000001,7867.1326087,29.1093079
1578402000000,7867.13260871,7869.19535822,7810.87479674,7841.98310622,62.65370562
1578403800000,7841.98310621,7858.10363106,7817.17938884,7849.03815249,60.94234807
1578405600000,7849.03815249,7878.93312995,7836.25627394,7875.01262073,57.8759612
1578407400000,7875.01262075,7883.7049624,7841.0,7842.43490859,62.12969879
1578409200000,7844.17435195,7852.02884364,7817.17938899,7831.12943071,64.63612808
1578411000000,7829.80215851,7831.5694992,7709.27,7766.20932166,116.08741417
1578412800000,7767.94019249,7885.38067211,7724.47932508,7879.79307491,166.38492322
1578414600000,7881.51028399,7941.14656215,7868.58588583,7911.69662801,123.62820595
1578416400000,7915.68150715,7952.98253909,7878.94872798,7937.98979727,127.16784866
1578418200000,7937.98979725,7952.00533555,7901.4644831,7938.73143916,93.72231575
1578420000000,7940.33469994,8047.8249102,7919.85732564,8035.9902567,96.51722399
1578421800000,8031.1,8123.58497069,8031.1,8033.92914307,209.61523382
1578423600000,8047.06788049,8096.36065099,8034.32919314,8080.88616149,54.42877298
1578425400000,8088.86334858,8110.32857427,8060.2078909,8072.29592403,80.03204986
1578427200000,8072.29592403,8109.99999993,8050.0,8106.75009987,20.94986692
1578429000000,8109.99999973,8173.32771903,8082.0,8160.38118619,61.05109423
1578430800000,8163.44145852,8187.8881596,8062.45494138,8076.40795864,91.85675097
1578432600000,8077.33429622,8087.83943569,8005.10000004,8022.21668033,32.08816829
1578434400000,8011.80000002,8064.0,7956.0,8014.90797001,25.8158136
1578436200000,8017.24841221,8060.32512014,7998.58805601,8048.27211741,15.17197136
1578438000000,8050.39843569,8082.25113717,8020.4767695,8080.87637119,20.94926902
1578439800000,8078.76865959,8200.0,8077.2609479,8150.7253787,92.36681155
1578441600000,8150.0,8350.0,8144.32289584,8330.31456067,184.05613073
1578443400000,8330.41456068,8453.97641769,8285.3796788,8429.092522,192.51606512
1578445200000,8429.39253207,8449.99999991,8342.10526317,8416.32097229,65.84282469
1578447000000,8415.00000006,8421.72660083,8345.65371933,8371.0,79.62231683
1578448800000,8366.50127159,8419.36102763,8292.6049043,8299.25304865,40.18415375
1578450600000,8299.25304862,8376.51804669,8260.0,8289.17474606,53.84427077
1578452400000,8278.36110004,8317.91985977,8230.0,8264.55357843,53.5521332
1578454200000,8261.59336846,8336.98628723,8258.5,8302.0,75.32436601
1578456000000,8295.90300609,8341.64969692,8295.90300609,8304.81411871,39.98057596
1578457800000,8304.03898748,8353.73223681,8285.41511123,8342.67560273,70.82386098
1578459600000,8342.88001051,8376.35433089,8316.57955975,8319.26907993,84.90371024
1578461400000,8322.91728359,8359.90225427,8310.65352833,8335.48203946,51.37771319
1578463200000,8335.53204446,8365.67,8322.2291441,8347.11695305,73.24520101
